powder_id,block,tilt_deg,phase,n,mean_g,std_g,sem_g,min_g,max_g,rsd_pct
sodium-sulfate,A,45.0,baseline,8,0.007500000000000001,0.024260726640866658,0.008577462162134971,-0.0235,0.042,323.4763552115554
sodium-sulfate,B,0.0,hold,1,0.1195,,,0.1195,0.1195,
sodium-sulfate,B,45.0,hold,1,-0.0062,,,-0.0062,-0.0062,
sodium-sulfate,B,90.0,hold,1,-0.0201,,,-0.0201,-0.0201,
sodium-sulfate,C,0.0,rotation,6,0.0512,0.01900505195993949,0.007758779972822187,0.0167,0.0725,37.11924210925682
sodium-sulfate,C,45.0,rotation,6,0.2084,0.03211846820755935,0.01311230973805404,0.1762,0.2579,15.411932921093737
sodium-sulfate,C,90.0,rotation,6,0.24355000000000002,0.028882711091585564,0.011791317427101463,0.204,0.284,11.859047871724723
sodium-sulfate,D,45.0,speed,3,0.9057,0.3222955320819698,0.18607741220613894,0.6566,1.2697,35.5852414797361
sodium-sulfate,E,0.0,refeed,8,0.0410125,0.010127252835789182,0.003580524577488612,0.031,0.0553,24.69308829207969
sodium-sulfate,E,0.0,tap,8,0.007899999999999999,0.008006782838854282,0.002830825220420969,-0.0038,0.0189,101.35168150448459
sodium-sulfate,E,45.0,refeed,8,0.1847125,0.021712171537115826,0.007676411864090072,0.1524,0.2294,11.75457618575669
sodium-sulfate,E,45.0,tap,8,0.0093375,0.007944978198297876,0.002808973980197853,-0.0027,0.02,85.0867812401379
