powder_id,block,tilt_deg,phase,trial,reason,shock_g,discarded_delta_g,t_ms
salt,C,0.0,rotation,0,shock,-0.0102,0.0444,182477
salt,C,0.0,rotation,0,shock,0.019,0.0619,201521
salt,C,0.0,rotation,1,shock,0.0273,0.0267,229629
salt,C,0.0,rotation,1,shock,0.005,0.0614,248656
salt,C,0.0,rotation,2,shock,0.0032,0.0587,276781
salt,C,0.0,rotation,2,shock,-0.0237,0.0678,288353
salt,C,0.0,rotation,3,shock,-0.0123,0.0856,318943
salt,C,0.0,rotation,3,shock,0.0243,-0.0045,335489
salt,C,0.0,rotation,4,shock,-0.0117,0.0944,361122
salt,C,0.0,rotation,4,shock,-0.0162,0.0437,377661
salt,C,45.0,rotation,0,shock,-0.0254,0.2032,451967
salt,C,45.0,rotation,0,shock,-0.011,0.1704,466025
salt,C,45.0,rotation,1,shock,-0.0289,0.2113,509062
salt,C,45.0,rotation,1,shock,0.015,0.1586,520629
salt,C,45.0,rotation,2,shock,-0.0126,0.1074,551244
salt,C,45.0,rotation,2,shock,-0.0228,0.1433,562803
salt,C,45.0,rotation,3,shock,0.0052,0.1079,600864
salt,C,45.0,rotation,3,shock,0.0173,0.1654,614922
salt,C,45.0,rotation,5,shock,0.0027,0.153,659582
salt,C,45.0,rotation,5,shock,-0.0113,0.2037,688562
salt,C,90.0,rotation,0,shock,0.0093,0.2352,718973
salt,C,90.0,rotation,0,shock,-0.0108,0.2122,730539
salt,C,90.0,rotation,1,shock,-0.0102,0.1903,771087
salt,C,90.0,rotation,2,shock,-0.0164,0.2437,799204
salt,C,90.0,rotation,2,shock,-0.0098,0.2011,815752
salt,C,90.0,rotation,3,shock,-0.0178,0.2682,858782
salt,C,90.0,rotation,3,shock,0.0011,0.2379,870365
salt,C,90.0,rotation,4,shock,0.0108,0.1805,898468
salt,C,90.0,rotation,4,shock,0.0122,0.1352,910040
salt,C,90.0,rotation,5,shock,-0.0026,0.1836,940645
salt,C,90.0,rotation,5,shock,-0.0128,0.1482,954712
salt,E,0.0,refeed,0,shock,0.0085,0.0873,1049470
salt,E,0.0,refeed,0,shock,-0.0156,0.0546,1061041
salt,E,0.0,tap,0,shock,0.0115,0.0101,1090117
salt,E,0.0,tap,0,shock,-0.0524,-0.0205,1115092
salt,E,0.0,tap,1,shock,0.0175,0.0249,1159159
salt,E,0.0,tap,1,shock,-0.0128,0.0167,1166714
salt,E,0.0,refeed,2,shock,-0.0024,0.0262,1215677
salt,E,0.0,refeed,2,shock,-0.0053,0.0386,1227260
salt,E,0.0,tap,2,shock,0.0423,-0.0629,1268763
salt,E,0.0,tap,2,shock,-0.0037,0.0117,1286256
salt,E,0.0,refeed,3,shock,-0.0215,0.1001,1315322
salt,E,0.0,refeed,3,shock,-0.0028,0.051,1344300
salt,E,0.0,tap,3,shock,0.0093,0.0088,1370897
salt,E,0.0,tap,3,shock,0.0386,-0.0097,1395846
salt,E,0.0,refeed,4,shock,0.0035,0.0804,1419945
salt,E,0.0,refeed,4,shock,0.0181,0.0255,1431527
salt,E,0.0,tap,5,shock,0.0126,0.021,1474741
salt,E,0.0,refeed,6,shock,0.0113,-0.0187,1506298
salt,E,0.0,refeed,6,shock,0.0113,0.0491,1525333
salt,E,0.0,tap,6,shock,-0.0258,-0.0295,1571807
salt,E,0.0,tap,6,shock,0.0164,-0.0102,1579361
salt,E,0.0,refeed,7,shock,0.0149,0.0384,1598499
salt,E,0.0,refeed,7,shock,-0.0109,0.0431,1610059
salt,E,0.0,tap,7,shock,-0.0114,0.0221,1631671
salt,E,0.0,tap,7,shock,0.0223,-0.0126,1641717
salt,E,45.0,refeed,0,shock,-0.0149,0.2176,1678052
