powder_id,source,detail,tilt_deg,rpm,mass_at_stop_g,settled_g,afterflow_mg,flow_mean_g_per_s,flow_slope_g_per_s,flow_slope1_g_per_s,dispense_s,poll_cadence_s,note
carboxymethyl-cellulose,G-bulk,dose2,90.0,55.0,0.3859,0.4013,15.4,0.025810407885232572,0.02841982645905144,0.025806394865090017,14.951332877648662,0.2875256322624743,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
carboxymethyl-cellulose,D-speed,15rpm,45.0,15.0,0.058,0.0702,12.199999999999996,0.005819689119170984,0.0010206542806921305,0.0013600455172111494,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
carboxymethyl-cellulose,D-speed,45rpm,45.0,45.0,0.0679,0.1618,23.7,0.021874626865671643,0.01930182561775305,0.012691140693765087,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
carboxymethyl-cellulose,D-speed,90rpm,45.0,90.0,0.056999999999999995,0.2483,29.5,0.036421052631578944,0.035306180305010176,0.043127922328964334,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
xanthan-gum,G-bulk,dose0,90.0,55.0,0.43779999999999997,0.5902,152.4,0.11191879699248118,0.11052556390977447,0.11259368421052632,3.9117647058823533,0.27941176470588236,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
xanthan-gum,G-bulk,dose1,90.0,55.0,0.39490000000000003,0.5326,137.7,0.08362283653846152,0.09249545454545456,0.07477562937062936,4.722394220846235,0.2951496388028897,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
xanthan-gum,G-bulk,dose2,90.0,55.0,0.3902,0.54,149.79999999999998,0.08884017857142858,0.09624948979591835,0.09241928571428601,4.3921568627450975,0.2745098039215686,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
xanthan-gum,D-speed,15rpm,45.0,15.0,0.6427,0.7,57.299999999999905,0.05803108808290155,0.05199486484072234,0.09176386487808008,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
xanthan-gum,D-speed,45rpm,45.0,45.0,0.3016000000000001,1.074,72.40000000000002,0.0893134328358209,0.0876251477877007,0.058850079384448126,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
xanthan-gum,D-speed,90rpm,45.0,90.0,0.20869999999999989,1.3917,108.99999999999999,0.1337263157894737,0.1316751903509838,0.13347101626734928,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
salt,G-bulk,dose0,90.0,55.0,0.39,0.4763,86.3,0.10736842105263159,0.09031729323308273,0.08614526315789463,3.6323529411764706,0.27941176470588236,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
salt,G-bulk,dose1,90.0,55.0,0.3859,0.4879,102.0,0.09664758497316636,0.105906976744186,0.11646046511627921,3.9928571428571433,0.30714285714285716,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
salt,G-bulk,dose2,90.0,55.0,0.4102,0.5421,131.89999999999998,0.11964166666666663,0.138025,0.12148499999999982,3.4285714285714297,0.28571428571428575,afterflow from controller's while-settling delta (0.8 s settle + stable weigh)
salt,D-speed,15rpm,45.0,15.0,0.1206,0.1517,31.1,0.012576165803108809,0.001369421858493698,0.0014996298524457712,12.0625,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
salt,D-speed,45rpm,45.0,45.0,0.04400000000000001,0.2106,14.899999999999997,0.014065671641791046,0.013517422440164831,0.014079698886141091,4.1875,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
salt,D-speed,90rpm,45.0,90.0,0.030099999999999988,0.2643,23.599999999999984,0.022610526315789473,0.019413858357819218,0.024665387546595974,2.375,0.28700000000000614,settled weigh ~2.1 s after last poll; includes <=0.3 s residual rotation
