powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
fumed-silica,A,45.0,baseline,0,,,-4.1771,-4.1815,-0.0044,,14356,0.0027,0.0042,0.0,0,ok
fumed-silica,A,45.0,baseline,1,,,-4.176,-4.1822,-0.0061,,18837,0.0006,0.0054,0.0,0,ok
fumed-silica,A,45.0,baseline,2,,,-4.1796,-4.1818,-0.0022,,23336,0.0005,0.0026,0.0,0,ok
fumed-silica,A,45.0,baseline,3,,,-4.1859,-4.1845,0.0014,,27827,0.0028,-0.0041,0.0,0,ok
fumed-silica,A,45.0,baseline,4,,,-4.1888,-4.1844,0.0044,,32322,0.0009,-0.0043,0.0,0,ok
fumed-silica,A,45.0,baseline,5,,,-4.1843,-4.1856,-0.0014,,36817,0.0009,0.0001,0.0,0,ok
fumed-silica,A,45.0,baseline,6,,,-4.1832,-4.1866,-0.0035,,41311,0.0014,0.0025,0.0,0,unsettled
fumed-silica,A,45.0,baseline,7,,,-4.1911,-4.1872,0.0039,,45806,0.0053,-0.0044,0.0,0,unsettled
fumed-silica,B,0.0,hold,0,15,,-4.1932,-4.1853,0.0079,,75742,0.0017,-0.0125,0.0,0,ok
fumed-silica,B,45.0,hold,0,15,,-4.17,-4.1891,-0.0191,,105675,0.0081,0.0175,0.0,0,ok
fumed-silica,B,90.0,hold,0,15,,-4.1923,-4.1908,0.0015,,153973,0.0017,-0.0023,0.0,0,ok
fumed-silica,C,0.0,rotation,0,360.0,30.0,-4.1899,-4.1969,-0.007,lowflow,173574,0.0006,-0.0054,0.0,0,ok
fumed-silica,C,0.0,rotation,1,360.0,30.0,-4.2274,-4.1991,0.0283,,185145,0.0081,-0.0265,0.0,0,unsettled
fumed-silica,C,0.0,rotation,2,360.0,30.0,-4.1975,-4.1972,0.0003,lowflow,196712,0.004,0.002,0.0,0,unsettled
fumed-silica,C,0.0,rotation,3,360.0,30.0,-4.188,-4.2007,-0.0126,lowflow,208288,0.0059,0.0103,0.0,0,unsettled
fumed-silica,C,0.0,rotation,4,360.0,30.0,-4.2039,-4.2005,0.0034,,219855,0.0157,-0.0006,0.0,0,unsettled
fumed-silica,C,0.0,rotation,5,360.0,30.0,-4.2029,-4.2002,0.0027,,231431,0.0011,-0.0023,0.0,0,ok
fumed-silica,C,45.0,rotation,0,360.0,30.0,-4.2114,-4.2004,0.0109,,254284,0.0127,-0.0083,0.0,0,unsettled
fumed-silica,C,45.0,rotation,1,360.0,30.0,-4.214,-4.1979,0.0161,,265855,0.0083,-0.0117,0.0,0,unsettled
fumed-silica,C,45.0,rotation,2,360.0,30.0,-4.1841,-4.1995,-0.0155,lowflow,277437,0.0016,0.0135,0.0,0,unsettled
fumed-silica,C,45.0,rotation,3,360.0,30.0,-4.2146,-4.1961,0.0186,,288996,0.0046,-0.0154,0.0,0,ok
fumed-silica,C,45.0,rotation,4,360.0,30.0,-4.1881,-4.1953,-0.0072,lowflow,300567,0.0038,0.0068,0.0,0,ok
fumed-silica,C,45.0,rotation,5,360.0,30.0,-4.1983,-4.2049,-0.0066,lowflow,312139,0.001,-0.0051,0.0,0,ok
fumed-silica,C,90.0,rotation,0,360.0,30.0,-4.2105,-4.197,0.0135,,330983,0.0038,-0.0036,0.0,0,ok
fumed-silica,C,90.0,rotation,1,360.0,30.0,-4.2166,-4.1994,0.0172,,342550,0.0039,-0.0167,0.0,0,ok
fumed-silica,C,90.0,rotation,2,360.0,30.0,-4.1988,-4.2039,-0.0051,lowflow,354121,0.0018,0.0019,0.0,0,unsettled
fumed-silica,C,90.0,rotation,3,360.0,30.0,-4.1948,-4.2006,-0.0058,lowflow,365693,0.0125,0.0088,0.0,0,unsettled
fumed-silica,C,90.0,rotation,4,360.0,30.0,-4.2098,-4.198,0.0119,,377264,0.0039,-0.01,0.0,0,ok
fumed-silica,C,90.0,rotation,5,360.0,30.0,-4.1997,-4.198,0.0017,,388836,0.0079,-0.0019,0.0,0,unsettled
fumed-silica,D,45.0,speed,0,3.0,15.0,-4.1751,-4.1962,-0.0211,,421833,0.0141,0.0231,0.0,0,unsettled
fumed-silica,D,45.0,speed,1,3.0,45.0,-4.1895,-4.1962,-0.0067,,435313,0.005,0.0077,0.0,0,unsettled
fumed-silica,D,45.0,speed,2,3.0,90.0,-4.1867,-4.1604,0.0263,,445736,0.0109,0.0093,-0.0141,0,shock
fumed-silica,E,0.0,refeed,0,360.0,30.0,-4.1739,-4.1802,-0.0062,lowflow,482941,0.0078,0.0004,0.0,0,unsettled
fumed-silica,E,0.0,tap,0,1,,-4.1605,-4.1282,0.0323,,505602,0.005,0.0043,-0.0323,2,shock
fumed-silica,E,0.0,refeed,1,360.0,30.0,-4.1544,-4.1781,-0.0237,lowflow,517185,0.0042,0.007,0.0,0,ok
fumed-silica,E,0.0,tap,1,1,,-4.1577,-4.1207,0.037,,539839,0.0052,0.0002,-0.0374,2,shock
fumed-silica,E,0.0,refeed,2,360.0,30.0,-4.1649,-4.1701,-0.0052,lowflow,551413,0.0029,-0.0092,0.0,0,ok
fumed-silica,E,0.0,tap,2,1,,-4.1541,-4.1209,0.0332,,574073,0.0026,0.0035,-0.0398,2,shock
fumed-silica,E,0.0,refeed,3,360.0,30.0,-4.1671,-4.1683,-0.0012,lowflow,585657,0.0093,-0.0049,0.0,0,unsettled
fumed-silica,E,0.0,tap,3,1,,-4.1591,-4.1375,0.0216,,608309,0.0043,0.0011,-0.0182,2,shock
fumed-silica,E,0.0,refeed,4,360.0,30.0,-4.1715,-4.1713,0.0001,,619880,0.0078,-0.0132,0.0,0,unsettled
fumed-silica,E,0.0,tap,4,1,,-4.1675,-4.1256,0.042,,642546,0.0035,-0.0067,-0.0346,2,shock
fumed-silica,E,0.0,refeed,5,360.0,30.0,-4.1453,-4.1673,-0.022,,654129,0.0025,0.0139,0.0,0,unsettled
fumed-silica,E,0.0,tap,5,1,,-4.1738,-4.1392,0.0346,,676781,0.0023,-0.0039,-0.022,2,shock
fumed-silica,E,0.0,refeed,6,360.0,30.0,-4.1774,-4.1762,0.0012,,688352,0.0078,-0.0151,0.0,0,unsettled
fumed-silica,E,0.0,tap,6,1,,-4.157,-4.13,0.0271,,711018,0.0015,0.0015,-0.0293,2,shock
fumed-silica,E,0.0,refeed,7,360.0,30.0,-4.1537,-4.1676,-0.0139,,722601,0.0039,0.0049,0.0,0,ok
fumed-silica,E,0.0,tap,7,1,,-4.1594,-4.1297,0.0296,,745257,0.0053,0.0007,-0.0271,2,shock
fumed-silica,E,45.0,refeed,0,360.0,30.0,-4.1685,-4.1677,0.0008,,782554,0.011,-0.0078,0.0,0,unsettled
fumed-silica,E,45.0,tap,0,1,,-4.1724,-4.1696,0.0028,,790104,0.0039,-0.0023,0.0,0,unsettled
fumed-silica,E,45.0,refeed,1,360.0,30.0,-4.2144,-4.1701,0.0442,,801674,0.0158,-0.0428,0.0,0,unsettled
fumed-silica,E,45.0,tap,1,1,,-4.1739,-4.1715,0.0024,,809230,0.0053,-0.0019,0.0,0,unsettled
fumed-silica,E,45.0,refeed,2,360.0,30.0,-4.1974,-4.174,0.0234,,820813,0.0093,-0.0251,0.0,0,unsettled
fumed-silica,E,45.0,tap,2,1,,-4.1772,-4.1748,0.0025,,828370,0.0045,-0.0025,0.0,0,unsettled
fumed-silica,E,45.0,refeed,3,360.0,30.0,-4.169,-4.1734,-0.0044,lowflow,839927,0.0041,0.0068,0.0,0,ok
fumed-silica,E,45.0,tap,3,1,,-4.1736,-4.1744,-0.0008,,847494,0.0006,-0.0008,0.0,0,ok
fumed-silica,E,45.0,refeed,4,360.0,30.0,-4.1789,-4.1732,0.0057,,859054,0.001,-0.0036,0.0,0,ok
