block,kind,t_start_s,t_end_s,dur_s,n_frames,n_datums,sigma_detr_mg,p2p_mg,slope_mg_per_min,delta_mg,st_frac
quiet_pre,quiet,3.332,123.255,119.923,1249,197,1.1784069706489295,7.300000000000001,1.3039466560524935,6.466666666666667,0.7902321857485989
tap_single,tap,123.351,245.662,122.311,1256,420,49.79320600404742,416.5,126.67212194447674,402.9833333333333,0.5915605095541401
quiet_mid1,quiet,245.758,275.693,29.934999999999974,314,35,0.3273562547953322,2.6999999999999886,5.722489542833621,1.8999999999999773,0.8503184713375797
tap_burst,tap,275.789,345.312,69.52300000000002,669,169,8.767905976041432,127.60000000000002,94.08312475064777,121.06666666666678,0.7204783258594918
quiet_mid2,quiet,345.408,375.341,29.932999999999993,312,43,0.7320285012069284,2.699999999999932,0.22895858457706042,0.5166666666665378,0.8525641025641025
auger15_p1,auger,375.542,390.353,14.811000000000035,155,152,37.844974204467,1072.1,4855.655409568488,1025.9499999999998,0.025806451612903226
post_auger15_p1,post,390.449,405.367,14.918000000000006,156,52,22.29374011114646,97.50000000000023,83.27065071602173,75.10000000000014,0.6153846153846154
auger30_p1,auger,405.463,420.383,14.919999999999959,156,153,31.95087900783228,1745.4,7385.978444149469,1685.5666666666664,0.0
post_auger30_p1,post,420.477,435.397,14.920000000000016,157,36,30.88837733130007,130.10000000000036,93.68620504876856,84.10000000000036,0.7452229299363057
auger55_p1,auger,435.493,444.386,8.893000000000029,94,90,37.94405649910225,1474.6,10936.705018012557,1410.666666666667,0.06382978723404255
