run_id,powder_id,block,phase,tilt_deg,rpm,n,mean_g,std_g,sem_g,rsd_pct
20260804T204316Z_brown-rice-flour,brown-rice-flour,A,baseline,45.0,,8,0.0,0.0,0.0,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,hold,0.0,,1,0.0,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,hold,45.0,,1,0.0,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,B,hold,90.0,,1,0.0,,,
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,rotation,0.0,,6,0.00021666666666666668,0.00032506409624359726,0.00013270686158262923,150.02958288166025
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,rotation,45.0,,6,0.00019999999999999998,0.00022803508501982757,9.309493362512628e-05,114.0175425099138
20260804T204316Z_brown-rice-flour,brown-rice-flour,C,rotation,90.0,,6,9.999999999999999e-05,0.00029664793948382654,0.00012110601416389968,296.6479394838266
20260804T204316Z_brown-rice-flour,brown-rice-flour,D,speed,45.0,,3,0.0006,0.0010392304845413265,0.0006000000000000001,173.20508075688778
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,refeed,0.0,,8,1.25e-05,3.535533905932738e-05,1.2499999999999999e-05,282.842712474619
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,tap,0.0,,8,-1.25e-05,3.535533905932738e-05,1.2499999999999999e-05,282.842712474619
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,refeed,45.0,,8,0.000275,0.0002604940361258638,9.209854970162589e-05,94.72510404576865
20260804T204316Z_brown-rice-flour,brown-rice-flour,E,tap,45.0,,8,2.5e-05,4.629100498862758e-05,1.636634176769943e-05,185.1640199545103
20260804T211422Z_white-rice-flour,white-rice-flour,A,baseline,45.0,,8,0.0,0.0,0.0,
20260804T211422Z_white-rice-flour,white-rice-flour,B,hold,0.0,,1,0.0,,,
20260804T211422Z_white-rice-flour,white-rice-flour,B,hold,45.0,,1,0.0,,,
