powder_id,n,target_g,dispensed_g,error_g,status,elapsed_s,auger_rev,taps,phase_cycles,t_ms,block
salt,0,0.05,0.0,-0.05,scale-error,13.0,0.0,0,,13314,H
salt,1,0.05,7.5393,7.4893,overshoot,7.0,0.0,0,bulk:0;fine:0;tap:0,20806,H
salt,2,0.05,0.0575,0.0075,overshoot,10.0,0.13,0,bulk:0;fine:1;tap:0,30660,H
salt,3,0.2,0.1681,-0.0319,scale-error,49.0,0.5,12,bulk:0;fine:4;tap:5,79431,H
salt,4,0.2,-0.0001,-0.2001,scale-error,31.0,0.25,0,bulk:0;fine:1,110032,H
salt,5,0.2,0.0061,-0.1939,scale-error,33.0,0.25,0,bulk:0;fine:1,143217,H
