powder_id,block,started_utc,started_local,elapsed_s
barium-chloride,G,2026-09-10T17:09:00.832538+00:00,2026-09-10 11:09:00 MDT,2.5
barium-chloride,H,2026-09-10T17:09:51.933571+00:00,2026-09-10 11:09:51 MDT,53.6
