powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
barium-chloride,E,0.0,tap,6,1,,0.2662,0.2663,0.0001,,600656,0.0,0.0,0.0,0,ok
barium-chloride,E,0.0,refeed,7,360.0,30.0,0.2667,0.3037,0.037,,612247,0.0002,0.0003,0.0,0,ok
barium-chloride,E,0.0,tap,7,1,,0.3037,0.3039,0.0001,,619795,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,0,360.0,30.0,0.0,0.1842,0.1842,,642639,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,0,1,,0.1844,0.1865,0.002,,650192,0.0001,0.0002,0.0,0,ok
barium-chloride,E,45.0,refeed,1,360.0,30.0,0.1865,0.3698,0.1833,,661768,0.0002,-0.0001,0.0,0,ok
barium-chloride,E,45.0,tap,1,1,,0.3698,0.3723,0.0025,,669331,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,2,360.0,30.0,0.3724,0.5601,0.1877,,680903,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,2,1,,0.5601,0.562,0.0019,,688449,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,3,360.0,30.0,0.5621,0.7684,0.2063,,700016,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,3,1,,0.7687,0.7702,0.0015,,707572,0.0001,0.0003,0.0,0,ok
barium-chloride,E,45.0,refeed,4,360.0,30.0,0.7703,0.981,0.2107,,719144,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,4,1,,0.981,0.9829,0.0019,,726701,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,5,360.0,30.0,0.983,1.1601,0.1771,,738269,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,5,1,,1.1601,1.1616,0.0015,,745836,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,6,360.0,30.0,1.1621,1.3519,0.1898,,757408,0.0001,0.0005,0.0,0,ok
barium-chloride,E,45.0,tap,6,1,,1.3519,1.3564,0.0045,,764954,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,refeed,7,360.0,30.0,1.3564,1.5434,0.187,,776533,0.0,0.0,0.0,0,ok
barium-chloride,E,45.0,tap,7,1,,1.5437,1.5449,0.0012,,784090,0.0001,0.0002,0.0,0,ok
