powder_id,block,started_utc,started_local,elapsed_s
alsi10mg,A,2026-08-11T18:30:45.724245+00:00,2026-08-11 12:30:45 MDT,2.2
alsi10mg,B,2026-08-11T18:31:07.938249+00:00,2026-08-11 12:31:07 MDT,24.4
alsi10mg,C,2026-08-11T18:32:09.318789+00:00,2026-08-11 12:32:09 MDT,85.8
alsi10mg,D,2026-08-11T18:34:21.196865+00:00,2026-08-11 12:34:21 MDT,217.6
alsi10mg,E,2026-08-11T18:34:53.915342+00:00,2026-08-11 12:34:53 MDT,250.3
alsi10mg,F,2026-08-11T18:37:26.739580+00:00,2026-08-11 12:37:26 MDT,403.2
alsi10mg,G,2026-08-11T18:37:26.747182+00:00,2026-08-11 12:37:26 MDT,403.2
