variant,length_mm,length_in,powder_mm3,powder_mL
4,180,7.087,47027.6,47.028
4,185,7.283,48443.1,48.443
4,190,7.48,49858.6,49.859
4,195,7.677,51274.1,51.274
4,200,7.874,52689.5,52.69
4,205,8.071,54105.0,54.105
4,210,8.268,55520.5,55.52
4,215,8.465,56936.0,56.936
4,220,8.661,58351.4,58.351
4,225,8.858,59766.9,59.767
4,230,9.055,61182.4,61.182
4,235,9.252,62597.9,62.598
4,240,9.449,64013.3,64.013
4,245,9.646,65428.8,65.429
4,250,9.843,66844.3,66.844
4,255,10.039,68259.8,68.26
4,260,10.236,69675.2,69.675
