powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
silicon-325,E,45.0,refeed,2,360.0,30.0,0.0072,0.0079,0.0007,,680869,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,tap,2,1,,0.0079,0.0079,-0.0,,688423,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,refeed,3,360.0,30.0,0.0084,0.0082,-0.0002,lowflow,699994,0.0001,0.0004,0.0,0,ok
silicon-325,E,45.0,tap,3,1,,0.0082,0.0107,0.0025,,707561,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,refeed,4,360.0,30.0,0.0102,0.011,0.0009,,719122,0.0001,-0.0005,0.0,0,ok
silicon-325,E,45.0,tap,4,1,,0.0111,0.0122,0.0011,,726679,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,refeed,5,360.0,30.0,0.0122,0.0122,0.0,lowflow,738259,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,tap,5,1,,0.0125,0.0123,-0.0002,,745800,0.0001,0.0002,0.0,0,ok
silicon-325,E,45.0,refeed,6,360.0,30.0,0.0123,0.0125,0.0002,lowflow,757377,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,tap,6,1,,0.0126,0.0125,-0.0001,,764928,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,refeed,7,360.0,30.0,0.0125,0.0126,0.0001,lowflow,776499,0.0,0.0,0.0,0,ok
silicon-325,E,45.0,tap,7,1,,0.0128,0.0138,0.001,,784056,0.0001,0.0002,0.0,0,ok
