window,t_ms,status,mg
B_released,23890,US,1532.4
B_released,24177,US,1532.1
B_released,24463,US,1531.6
B_released,24751,US,1531.2001
B_released,25038,US,1530.9
B_released,25324,US,1531.0
B_released,25611,ST,1531.0
B_released,25899,ST,1531.0
B_released,26185,ST,1531.0
B_released,26472,ST,1531.1
B_released,26760,US,1531.2001
B_released,27045,ST,1531.2001
B_released,27333,ST,1531.2001
B_released,27620,US,1531.6
B_released,27906,ST,1531.5
B_released,28194,US,1531.2001
B_released,28481,US,1531.2001
B_released,28767,ST,1531.2999
B_released,29054,ST,1531.4
B_released,29342,ST,1531.4
B_released,29627,US,1531.0
B_released,29915,US,1531.2999
C_holding,77,US,1529.5
C_holding,365,US,1529.8
C_holding,652,US,1529.8
C_holding,938,US,1529.5
C_holding,1225,US,1529.5
C_holding,1513,ST,1529.5
C_holding,1799,US,1529.7001
C_holding,2086,US,1529.8
C_holding,2373,US,1527.2
C_holding,2659,US,1528.8
C_holding,2946,US,1532.2
C_holding,3234,US,1535.0
C_holding,3519,US,1533.1
C_holding,3807,US,1530.7999
C_holding,4094,US,1528.7
C_holding,4380,US,1528.7
C_holding,4668,US,1529.2
C_holding,4955,US,1529.5
C_holding,5241,US,1529.8
C_holding,5528,US,1530.0
C_holding,5816,ST,1530.0
C_holding,6102,US,1530.2
C_holding,6389,US,1530.7
C_holding,6676,US,1526.6
C_holding,6962,US,1526.8
C_holding,7249,US,1528.8
C_holding,7537,US,1531.1
C_holding,7822,US,1530.6
C_holding,8110,US,1530.4
C_holding,8398,US,1530.2
C_holding,8683,US,1530.1
C_holding,8971,US,1529.8
C_holding,9258,US,1529.5
C_holding,9544,ST,1529.5
C_holding,9832,ST,1529.4
C_holding,10119,US,1527.7999
C_holding,10404,US,1529.2999
C_holding,10692,US,1529.6
C_holding,10980,US,1529.8
C_holding,11267,US,1530.4
C_holding,11552,US,1533.4
C_holding,11840,US,1532.3
C_holding,12127,US,1527.3
C_holding,12413,US,1529.8999
C_holding,12700,US,1532.7999
C_holding,12988,US,1531.2999
C_holding,13274,US,1530.5
C_holding,13561,US,1530.1
C_holding,13849,US,1529.5
C_holding,14134,US,1529.5
C_holding,14422,US,1529.6
C_holding,14710,ST,1529.5
C_holding,14995,US,1529.4
C_holding,15283,US,1529.6
C_holding,15570,US,1530.0
C_holding,15856,US,1530.5
C_holding,16143,US,1531.1
C_holding,16431,US,1531.4
C_holding,16716,US,1530.3
C_holding,17004,US,1530.3
C_holding,17291,ST,1530.3
C_holding,17577,ST,1530.4
C_holding,17864,US,1530.1
C_holding,18152,US,1530.1
C_holding,18438,US,1530.2
C_holding,18726,ST,1530.2
C_holding,19013,ST,1530.2
C_holding,19299,ST,1530.3
C_holding,19586,US,1531.1
C_holding,19874,US,1531.8
C_holding,20159,US,1530.5
C_holding,20446,US,1531.9
C_holding,20734,US,1532.0
C_holding,21019,US,1531.7001
C_holding,21307,ST,1531.8
C_holding,21595,US,1531.6
C_holding,21880,US,1531.5
C_holding,22168,ST,1531.6
C_holding,22455,ST,1531.6
C_holding,22743,ST,1531.7001
C_holding,23029,ST,1531.8
C_holding,23316,US,1532.5
C_holding,23604,US,1533.1
C_holding,23889,US,1533.5
C_holding,24176,US,1530.5
C_holding,24464,US,1532.3
C_holding,24749,US,1533.1
C_holding,25037,US,1533.1
C_holding,25324,ST,1533.1
C_holding,25610,US,1532.7
C_holding,25898,US,1532.5
C_holding,26185,US,1535.7999
C_holding,26471,US,1535.0
C_holding,26758,US,1532.0
C_holding,27046,US,1531.2001
C_holding,27331,US,1531.7001
C_holding,27619,US,1532.4
C_holding,27906,US,1532.2
C_holding,28192,US,1532.1
C_holding,28480,US,1532.3
C_holding,28767,US,1532.7
C_holding,29053,US,1533.0
C_holding,29340,US,1528.5
C_holding,29627,US,1528.3
C_holding,29913,ST,1528.2001
