run_id,powder_id,started_utc,era,rpm,n_polls,iterations,median_poll_ms,nominal_spin_s,actual_spin_s,commanded_rev,actual_rev,overturn_pct
20260820T214823Z_silicon-110-200,silicon-110-200,2026-08-20T21:48:23.367756+00:00,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260820T214823Z_silicon-110-200,silicon-110-200,2026-08-20T21:48:23.367756+00:00,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
20260821T151337Z_alsi10mg,alsi10mg,2026-08-21T15:13:37Z,after,15.0,48,48,386.0,12.0,18.53,3.0,4.632,54.4
20260821T151337Z_alsi10mg,alsi10mg,2026-08-21T15:13:37Z,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260821T151337Z_alsi10mg,alsi10mg,2026-08-21T15:13:37Z,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
20260821T161838Z_silicon-325,silicon-325,2026-08-21T16:18:38.225294+00:00,after,15.0,48,48,386.0,12.0,18.53,3.0,4.632,54.4
20260821T161838Z_silicon-325,silicon-325,2026-08-21T16:18:38.225294+00:00,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260821T161838Z_silicon-325,silicon-325,2026-08-21T16:18:38.225294+00:00,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
20260821T170712Z_barium-chloride,barium-chloride,2026-08-21T17:07:12.015465+00:00,after,15.0,48,48,386.0,12.0,18.53,3.0,4.632,54.4
20260821T170712Z_barium-chloride,barium-chloride,2026-08-21T17:07:12.015465+00:00,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260821T170712Z_barium-chloride,barium-chloride,2026-08-21T17:07:12.015465+00:00,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
20260821T182705Z_fumed-silica,fumed-silica,2026-08-21T18:27:05.961034+00:00,after,15.0,48,48,386.0,12.0,18.53,3.0,4.632,54.4
20260821T182705Z_fumed-silica,fumed-silica,2026-08-21T18:27:05.961034+00:00,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260821T182705Z_fumed-silica,fumed-silica,2026-08-21T18:27:05.961034+00:00,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
20260821T192031Z_salt,salt,2026-08-21T19:20:31.212009+00:00,after,15.0,48,48,386.0,12.0,18.53,3.0,4.632,54.4
20260821T192031Z_salt,salt,2026-08-21T19:20:31.212009+00:00,after,45.0,16,16,386.0,4.0,6.18,3.0,4.632,54.4
20260821T192031Z_salt,salt,2026-08-21T19:20:31.212009+00:00,after,90.0,8,8,386.0,2.0,3.09,3.0,4.632,54.4
