run_id,round,date_utc,started_utc,started_local,powder_id,display,batch,protocol,block,dose_n,dose_seq,target_mg,delivered_mg,error_mg,error_pct,abs_error_mg,time_s,status,pass_fw_status,pass_fw_abs5,pass_5pct,auger_rev_fw,stepper_rev,auger_rev_if_48_16,taps,bulk_cycles,fine_cycles,tap_cycles,phase_cycles,actuated,reconstructed,read_path,location,run_qc_valid,run_qc_verdict,dose_valid,invalid_reason,caveat,source,note,tare_warning_pan_g,tare_baseline_mg,tare_drift_mg_per_min,tare_read_noise_mg,bulk_gain_mg,bulk_end_s,bulk_skipped,fine_gain_mg,fine_end_s,fine_skipped,tap_gain_mg,tap_end_s,tap_skipped,nudges,no_flow_msg,last_trace_mass_g,last_trace_elapsed_s
20260805T185305Z_brown-rice-flour,1,2026-08-05,2026-08-05T18:53:05.644181+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,0,0,1000.0,1.8,-998.2,-99.82,998.2,6.0,stalled,False,False,False,4.58,10.076,3.359,0,16,,,bulk:16,True,False,read_stable,lab_pre_hood,True,conveying-slowly,True,,,git run JSON,,,,,,,,,,,,,,,,,,
20260805T185305Z_brown-rice-flour,1,2026-08-05,2026-08-05T18:53:05.644181+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,1,1,1000.0,0.8,-999.2,-99.92,999.2,8.0,stalled,False,False,False,4.58,10.076,3.359,0,17,,,bulk:17,True,False,read_stable,lab_pre_hood,True,conveying-slowly,True,,,git run JSON,,,,,,,,,,,,,,,,,,
20260805T185305Z_brown-rice-flour,1,2026-08-05,2026-08-05T18:53:05.644181+00:00,,brown-rice-flour,Brown rice flour,food-safe-2026-08,G,G,2,2,1000.0,0.0,-1000.0,-100.0,1000.0,7.0,stalled,False,False,False,4.58,10.076,3.359,0,14,,,bulk:14,True,False,read_stable,lab_pre_hood,True,conveying-slowly,True,,,git run JSON,,,,,,,,,,,,,,,,,,
20260805T200002Z_calcium-lactate,1,2026-08-05,2026-08-05T20:00:02.433141+00:00,,calcium-lactate,Calcium lactate,food-safe-2026-08,G,G,0,0,1000.0,984.6,-15.4,-1.54,15.4,265.0,stalled,False,False,True,4.89,10.758,3.586,166,13,16,83,bulk:13;fine:16;tap:83,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,548.3,8.0,False,421.0,74.0,False,15.3,265.0,False,10,True,0.9846,265.0
20260805T200002Z_calcium-lactate,1,2026-08-05,2026-08-05T20:00:02.433141+00:00,,calcium-lactate,Calcium lactate,food-safe-2026-08,G,G,1,1,1000.0,965.4,-34.6,-3.46,34.6,263.0,stalled,False,False,True,5.81,12.782,4.261,164,15,16,82,bulk:15;fine:16;tap:82,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,540.4,9.0,False,411.5,75.0,False,13.5,263.0,False,10,True,0.9654,263.0
20260805T200002Z_calcium-lactate,1,2026-08-05,2026-08-05T20:00:02.433141+00:00,,calcium-lactate,Calcium lactate,food-safe-2026-08,G,G,2,2,1000.0,970.5,-29.5,-2.95,29.5,215.0,stalled,False,False,True,5.81,12.782,4.261,114,15,16,57,bulk:15;fine:16;tap:57,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,508.8,9.0,False,452.0,77.0,False,9.7,215.0,False,10,True,0.9705,215.0
20260805T215252Z_carboxymethyl-cellulose,1,2026-08-05,2026-08-05T21:52:52.010546+00:00,2026-08-05 15:52:52 MDT,carboxymethyl-cellulose,CMC,food-safe-2026-08,G,G,0,0,1000.0,951.1,-48.9,-4.89,48.9,651.0,stalled,False,False,True,31.68,69.696,23.232,66,53,135,33,bulk:53;fine:135;tap:33,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,408.2,18.0,False,542.7,561.0,False,0.2,651.0,False,10,True,0.9511,651.0
20260805T215252Z_carboxymethyl-cellulose,1,2026-08-05,2026-08-05T21:52:52.010546+00:00,2026-08-05 15:52:52 MDT,carboxymethyl-cellulose,CMC,food-safe-2026-08,G,G,1,1,1000.0,957.5,-42.5,-4.25,42.5,668.0,stalled,False,False,True,30.89,67.958,22.653,78,51,136,39,bulk:51;fine:136;tap:39,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,399.9,19.0,False,553.3,566.0,False,4.3,668.0,False,10,True,0.9575,668.0
20260805T215252Z_carboxymethyl-cellulose,1,2026-08-05,2026-08-05T21:52:52.010546+00:00,2026-08-05 15:52:52 MDT,carboxymethyl-cellulose,CMC,food-safe-2026-08,G,G,2,2,1000.0,961.9,-38.1,-3.81,38.1,688.0,stalled,False,False,True,31.93,70.246,23.415,92,56,137,46,bulk:56;fine:137;tap:46,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,401.1,21.0,False,553.8,572.0,False,6.8,688.0,False,10,True,0.9619,688.0
20260806T140254Z_xanthan-gum,1,2026-08-06,2026-08-06T14:02:54.080499+00:00,2026-08-06 08:02:54 MDT,xanthan-gum,Xanthan gum,food-safe-2026-08,G,G,0,0,1000.0,956.4,-43.6,-4.36,43.6,174.0,stalled,False,False,True,6.72,14.784,4.928,76,16,16,38,bulk:16;fine:16;tap:38,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,590.2,9.0,False,362.5,74.0,False,3.7,174.0,False,10,True,0.9564,174.0
20260806T140254Z_xanthan-gum,1,2026-08-06,2026-08-06T14:02:54.080499+00:00,2026-08-06 08:02:54 MDT,xanthan-gum,Xanthan gum,food-safe-2026-08,G,G,1,1,1000.0,969.9,-30.1,-3.01,30.1,199.0,stalled,False,False,True,6.97,15.334,5.111,90,18,18,45,bulk:18;fine:18;tap:45,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,532.6,10.0,False,431.8,85.0,False,5.5,199.0,False,10,True,0.9699,199.0
20260806T140254Z_xanthan-gum,1,2026-08-06,2026-08-06T14:02:54.080499+00:00,2026-08-06 08:02:54 MDT,xanthan-gum,Xanthan gum,food-safe-2026-08,G,G,2,2,1000.0,975.0,-25.0,-2.5,25.0,193.0,stalled,False,False,True,6.97,15.334,5.111,86,18,18,43,bulk:18;fine:18;tap:43,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,540.0,10.0,False,430.4,83.0,False,4.6,193.0,False,10,True,0.975,193.0
20260806T145120Z_salt,1,2026-08-06,2026-08-06T14:51:20.847638+00:00,2026-08-06 08:51:20 MDT,salt,NaCl (control),food-safe-2026-08,G,G,0,0,1000.0,995.3,-4.7,-0.47,4.7,265.0,ok,True,True,True,9.83,21.626,7.209,70,16,42,35,bulk:16;fine:42;tap:35,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,476.3,8.0,False,494.3,178.0,False,24.7,265.0,False,0,False,0.9953,265.0
20260806T145120Z_salt,1,2026-08-06,2026-08-06T14:51:20.847638+00:00,2026-08-06 08:51:20 MDT,salt,NaCl (control),food-safe-2026-08,G,G,1,1,1000.0,996.5,-3.5,-0.35,3.5,204.0,ok,True,True,True,9.46,20.812,6.937,28,15,39,14,bulk:15;fine:39;tap:14,True,False,read_stable,lab_pre_hood,True,ok,True,,,git run JSON,,,,,,487.9,9.0,False,496.8,168.0,False,11.8,204.0,False,0,False,0.9965,204.0
