powder_id,block,started_utc,started_local,elapsed_s
silicon-325,G,2026-09-10T21:29:23.231893+00:00,2026-09-10 15:29:23 MDT,2.5
silicon-325,H,2026-09-10T21:29:52.114987+00:00,2026-09-10 15:29:52 MDT,31.4
