powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
silicon-110-200,A,45.0,baseline,0,,,-0.6094,-0.5909,0.0185,,14300,0.0079,-0.0156,0.0027,0,shock
silicon-110-200,A,45.0,baseline,1,,,-0.5858,-0.5941,-0.0082,,18795,0.005,0.0051,0.0027,0,unsettled
silicon-110-200,A,45.0,baseline,2,,,-0.5694,-0.5975,-0.0281,,23290,0.0068,0.0247,0.0,0,unsettled
silicon-110-200,A,45.0,baseline,3,,,-0.6038,-0.6048,-0.001,,27796,0.0038,-0.0063,0.0111,0,shock
silicon-110-200,A,45.0,baseline,4,,,-0.6278,-0.5988,0.029,,32277,0.009,-0.023,0.0057,0,shock
silicon-110-200,A,45.0,baseline,5,,,-0.6085,-0.5944,0.0142,,36772,0.0093,-0.0097,-0.0054,0,unsettled
silicon-110-200,A,45.0,baseline,6,,,-0.5902,-0.5994,-0.0092,,41267,0.0111,0.0042,0.0,0,unsettled
silicon-110-200,A,45.0,baseline,7,,,-0.5722,-0.5953,-0.0231,,45762,0.0072,0.0272,-0.0051,0,shock
silicon-110-200,B,0.0,hold,0,15,,-0.5836,-0.5787,0.0049,,75699,0.0307,0.0084,-0.0128,0,shock
silicon-110-200,B,45.0,hold,0,15,,-0.5648,-0.5976,-0.0328,,105631,0.0397,0.0271,0.002,0,shock
silicon-110-200,B,90.0,hold,0,15,,-0.6254,-0.579,0.0464,,135564,0.0328,-0.0309,-0.0129,0,shock
silicon-110-200,C,0.0,rotation,0,360.0,30.0,-0.5335,-0.4683,0.0651,,183284,0.0085,-0.0208,0.0,2,unsettled
silicon-110-200,C,0.0,rotation,1,360.0,30.0,-0.4678,-0.4233,0.0445,,197342,0.0066,0.0048,0.0,0,unsettled
silicon-110-200,C,0.0,rotation,2,360.0,30.0,-0.4042,-0.3735,0.0307,,208909,0.0069,0.0195,0.0,0,unsettled
silicon-110-200,C,0.0,rotation,3,360.0,30.0,-0.3796,-0.3245,0.0551,,220485,0.0057,-0.001,0.0,0,unsettled
silicon-110-200,C,0.0,rotation,4,360.0,30.0,-0.344,-0.2739,0.0701,,232056,0.0128,-0.0186,0.0,0,unsettled
silicon-110-200,C,0.0,rotation,5,360.0,30.0,-0.3035,-0.226,0.0775,,243623,0.0163,-0.026,0.0,0,unsettled
silicon-110-200,C,45.0,rotation,0,360.0,30.0,0.0185,0.2527,0.2342,,274046,0.0105,-0.0099,0.0,1,unsettled
silicon-110-200,C,45.0,rotation,1,360.0,30.0,0.235,0.4527,0.2178,,290582,0.0156,-0.0148,0.0,0,unsettled
silicon-110-200,C,45.0,rotation,2,360.0,30.0,0.4638,0.6597,0.1959,,302150,0.0014,0.0093,0.0,0,ok
silicon-110-200,C,45.0,rotation,3,360.0,30.0,0.6769,0.8723,0.1954,,313720,0.0054,0.0162,0.0,0,unsettled
silicon-110-200,C,45.0,rotation,4,360.0,30.0,0.873,1.0802,0.2072,,325292,0.0062,0.0024,0.0,0,unsettled
silicon-110-200,C,45.0,rotation,5,360.0,30.0,1.4961,1.7098,0.2137,,362501,0.0162,-0.0082,0.0,2,unsettled
silicon-110-200,C,90.0,rotation,0,360.0,30.0,1.7658,2.066,0.3002,,381332,0.0155,-0.0008,0.0,0,unsettled
silicon-110-200,C,90.0,rotation,1,360.0,30.0,2.0454,2.358,0.3126,,392904,0.0105,-0.0187,0.0,0,unsettled
