powder_id,block,started_utc,started_local,elapsed_s
sodium-sulfate,G,2026-09-10T13:39:35.851520+00:00,2026-09-10 07:39:35 MDT,3.8
sodium-sulfate,H,2026-09-10T13:45:10.149721+00:00,2026-09-10 07:45:10 MDT,338.1
