powder_id,block,tilt_deg,phase,trial,action,rpm,before_g,after_g,delta_g,flag,t_ms,sigma_g,drift_g,shock_g,retries,quality
salt,A,45.0,baseline,0,,,1.3888,1.3871,-0.0017,,14315,0.0007,-0.0003,0.0,0,ok
salt,A,45.0,baseline,1,,,1.3813,1.3881,0.0068,,18799,0.0027,-0.0059,0.0,0,ok
salt,A,45.0,baseline,2,,,1.3879,1.3902,0.0023,,23293,0.0001,-0.0002,0.0,0,ok
salt,A,45.0,baseline,3,,,1.3933,1.3907,-0.0026,,27788,0.0002,0.0031,0.0,0,ok
salt,A,45.0,baseline,4,,,1.3895,1.3902,0.0007,,32282,0.0009,-0.0012,0.0,0,unsettled
salt,A,45.0,baseline,5,,,1.386,1.3888,0.0028,,36778,0.0037,-0.0042,0.0,0,unsettled
salt,A,45.0,baseline,6,,,1.3895,1.3906,0.0011,,41272,0.0008,0.0007,0.0,0,ok
salt,A,45.0,baseline,7,,,1.391,1.3921,0.0011,,45767,0.0007,0.0004,0.0,0,ok
salt,B,0.0,hold,0,15,,1.3428,1.3847,0.0419,,75703,0.0397,-0.0417,0.0,0,unsettled
salt,B,45.0,hold,0,15,,1.4082,1.3947,-0.0134,,105635,0.0029,0.0213,-0.0152,0,shock
salt,B,90.0,hold,0,15,,1.3795,1.3828,0.0033,,135566,0.0119,-0.0031,0.0,0,ok
salt,C,0.0,rotation,0,360.0,30.0,1.3874,1.4101,0.0226,,155172,0.0009,-0.0009,0.0,0,ok
salt,C,0.0,rotation,1,360.0,30.0,1.406,1.444,0.038,,166744,0.0013,-0.0027,0.0,0,ok
salt,C,0.0,rotation,2,360.0,30.0,1.4421,1.4872,0.045,,178316,0.0016,-0.002,0.0,0,unsettled
salt,C,0.0,rotation,3,360.0,30.0,1.4863,1.5281,0.0417,,189882,0.0014,0.0055,0.0,0,ok
salt,C,0.0,rotation,4,360.0,30.0,1.5337,1.5634,0.0297,,201454,0.0024,0.0066,0.0,0,ok
salt,C,0.0,rotation,5,360.0,30.0,1.5571,1.6081,0.051,,213026,0.0016,-0.005,0.0,0,unsettled
salt,C,45.0,rotation,0,360.0,30.0,1.6215,1.7574,0.136,,231865,0.0074,0.0148,0.0,0,unsettled
salt,C,45.0,rotation,1,360.0,30.0,1.7679,1.9351,0.1673,,243436,0.0067,0.0112,0.0,0,ok
salt,C,45.0,rotation,2,360.0,30.0,1.9394,2.098,0.1585,,255012,0.0012,0.0033,0.0,0,ok
salt,C,45.0,rotation,3,360.0,30.0,2.0893,2.228,0.1386,,266579,0.0085,-0.0082,0.0,0,unsettled
salt,C,45.0,rotation,4,360.0,30.0,2.2479,2.4242,0.1763,,278150,0.0096,0.0169,0.0,0,unsettled
salt,C,45.0,rotation,5,360.0,30.0,2.4594,2.5616,0.1022,,289722,0.0127,0.0358,0.0,0,unsettled
salt,C,90.0,rotation,0,360.0,30.0,2.5433,2.8229,0.2796,,313538,0.0009,-0.0024,0.0,0,ok
salt,C,90.0,rotation,1,360.0,30.0,2.8276,3.0549,0.2273,,325106,0.0013,0.0046,0.0,0,unsettled
salt,C,90.0,rotation,2,360.0,30.0,3.0287,3.3016,0.273,,339167,0.0145,-0.029,0.0,0,unsettled
salt,C,90.0,rotation,3,360.0,30.0,3.253,3.54,0.287,,353222,0.0111,-0.042,0.0,0,unsettled
salt,C,90.0,rotation,4,360.0,30.0,3.5271,3.7489,0.2219,,364793,0.0095,-0.0087,0.0,0,unsettled
salt,C,90.0,rotation,5,360.0,30.0,3.7212,4.0234,0.3022,,376376,0.0054,-0.0239,0.0,0,unsettled
salt,D,45.0,speed,0,3.0,15.0,4.042,4.7821,0.7401,,409360,0.0452,0.0193,0.0,0,unsettled
salt,D,45.0,speed,1,3.0,45.0,4.7787,5.4347,0.656,,422845,0.0027,0.0004,0.0,0,ok
salt,D,45.0,speed,2,3.0,90.0,5.4466,5.9394,0.4928,,433277,0.0016,0.0113,0.0,0,unsettled
