t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
5047,quiet_pre,0.4575,U,0.0,0,0.0,8.950000000000014
5143,quiet_pre,0.4575,U,0.0,0,0.0,8.950000000000014
5238,quiet_pre,0.4576,U,0.0,0,0.0,9.050000000000002
5334,quiet_pre,0.4576,U,0.0,0,0.0,9.050000000000002
5430,quiet_pre,0.4576,S,0.0,0,0.0,9.050000000000002
5526,quiet_pre,0.4576,S,0.0,0,0.0,9.050000000000002
5622,quiet_pre,0.4576,S,0.0,0,0.0,9.050000000000002
5718,quiet_pre,0.4577,S,0.0,0,0.0,9.149999999999991
5811,quiet_pre,0.4577,S,0.0,0,0.0,9.149999999999991
5907,quiet_pre,0.4577,S,0.0,0,0.0,9.149999999999991
6003,quiet_pre,0.4577,S,0.0,0,0.0,9.149999999999991
6099,quiet_pre,0.4578,U,0.0,0,0.0,9.24999999999998
6195,quiet_pre,0.4578,S,0.0,0,0.0,9.24999999999998
6291,quiet_pre,0.4578,S,0.0,0,0.0,9.24999999999998
6387,quiet_pre,0.4579,U,0.0,0,0.0,9.34999999999997
6482,quiet_pre,0.4579,U,0.0,0,0.0,9.34999999999997
6578,quiet_pre,0.4579,S,0.0,0,0.0,9.34999999999997
6672,quiet_pre,0.4579,S,0.0,0,0.0,9.34999999999997
6768,quiet_pre,0.4579,S,0.0,0,0.0,9.34999999999997
6864,quiet_pre,0.4579,S,0.0,0,0.0,9.34999999999997
6960,quiet_pre,0.458,S,0.0,0,0.0,9.450000000000014
7055,quiet_pre,0.4581,U,0.0,0,0.0,9.550000000000002
7151,quiet_pre,0.4582,U,0.0,0,0.0,9.649999999999991
7247,quiet_pre,0.4582,U,0.0,0,0.0,9.649999999999991
7343,quiet_pre,0.4583,U,0.0,0,0.0,9.74999999999998
7439,quiet_pre,0.4584,U,0.0,0,0.0,9.84999999999997
7533,quiet_pre,0.4584,U,0.0,0,0.0,9.84999999999997
7628,quiet_pre,0.4585,U,0.0,0,0.0,9.950000000000014
7724,quiet_pre,0.4585,U,0.0,0,0.0,9.950000000000014
7820,quiet_pre,0.4586,U,0.0,0,0.0,10.050000000000004
7916,quiet_pre,0.4586,U,0.0,0,0.0,10.050000000000004
8012,quiet_pre,0.4586,U,0.0,0,0.0,10.050000000000004
8108,quiet_pre,0.4586,S,0.0,0,0.0,10.050000000000004
8204,quiet_pre,0.4586,S,0.0,0,0.0,10.050000000000004
8299,quiet_pre,0.4586,S,0.0,0,0.0,10.050000000000004
8395,quiet_pre,0.4585,S,0.0,0,0.0,9.950000000000014
8489,quiet_pre,0.4585,S,0.0,0,0.0,9.950000000000014
8585,quiet_pre,0.4584,U,0.0,0,0.0,9.84999999999997
8681,quiet_pre,0.4583,U,0.0,0,0.0,9.74999999999998
8777,quiet_pre,0.4581,U,0.0,0,0.0,9.550000000000002
8872,quiet_pre,0.458,U,0.0,0,0.0,9.450000000000014
8968,quiet_pre,0.4577,U,0.0,0,0.0,9.149999999999991
9064,quiet_pre,0.4574,U,0.0,0,0.0,8.84999999999997
9160,quiet_pre,0.4572,U,0.0,0,0.0,8.649999999999991
9256,quiet_pre,0.457,U,0.0,0,0.0,8.450000000000014
9350,quiet_pre,0.4568,U,0.0,0,0.0,8.249999999999979
9446,quiet_pre,0.4566,U,0.0,0,0.0,8.05
9541,quiet_pre,0.4563,U,0.0,0,0.0,7.749999999999979
9637,quiet_pre,0.4561,U,0.0,0,0.0,7.550000000000001
9733,quiet_pre,0.4558,U,0.0,0,0.0,7.249999999999979
9829,quiet_pre,0.4556,U,0.0,0,0.0,7.050000000000001
9925,quiet_pre,0.4554,U,0.0,0,0.0,6.850000000000023
10021,quiet_pre,0.4553,U,0.0,0,0.0,6.749999999999979
10116,quiet_pre,0.4552,U,0.0,0,0.0,6.64999999999999
10210,quiet_pre,0.455,U,0.0,0,0.0,6.450000000000012
10306,quiet_pre,0.4549,U,0.0,0,0.0,6.350000000000023
10413,quiet_pre,0.4548,U,0.0,0,0.0,6.249999999999978
10594,quiet_pre,0.4547,U,0.0,0,0.0,6.149999999999989
10689,quiet_pre,0.4546,U,0.0,0,0.0,6.05
10785,quiet_pre,0.4546,U,0.0,0,0.0,6.05
10881,quiet_pre,0.4545,U,0.0,0,0.0,5.950000000000011
10977,quiet_pre,0.4545,U,0.0,0,0.0,5.950000000000011
11071,quiet_pre,0.4544,U,0.0,0,0.0,5.850000000000022
11167,quiet_pre,0.4543,U,0.0,0,0.0,5.749999999999977
11263,quiet_pre,0.4543,U,0.0,0,0.0,5.749999999999977
11358,quiet_pre,0.4542,U,0.0,0,0.0,5.649999999999988
11454,quiet_pre,0.4542,U,0.0,0,0.0,5.649999999999988
11550,quiet_pre,0.4542,U,0.0,0,0.0,5.649999999999988
11646,quiet_pre,0.4542,S,0.0,0,0.0,5.649999999999988
11742,quiet_pre,0.4541,U,0.0,0,0.0,5.549999999999999
11838,quiet_pre,0.454,U,0.0,0,0.0,5.45000000000001
11934,quiet_pre,0.4539,U,0.0,0,0.0,5.350000000000021
12027,quiet_pre,0.4537,U,0.0,0,0.0,5.149999999999988
12123,quiet_pre,0.4536,U,0.0,0,0.0,5.049999999999999
12219,quiet_pre,0.4535,U,0.0,0,0.0,4.95000000000001
12315,quiet_pre,0.4534,U,0.0,0,0.0,4.850000000000021
12411,quiet_pre,0.4533,U,0.0,0,0.0,4.749999999999977
12507,quiet_pre,0.4532,U,0.0,0,0.0,4.649999999999988
12602,quiet_pre,0.4532,U,0.0,0,0.0,4.649999999999988
12698,quiet_pre,0.4531,U,0.0,0,0.0,4.549999999999999
12794,quiet_pre,0.453,U,0.0,0,0.0,4.45000000000001
12888,quiet_pre,0.4529,U,0.0,0,0.0,4.350000000000021
12984,quiet_pre,0.4529,U,0.0,0,0.0,4.350000000000021
13080,quiet_pre,0.4528,U,0.0,0,0.0,4.249999999999976
13175,quiet_pre,0.4527,U,0.0,0,0.0,4.149999999999987
13271,quiet_pre,0.4526,U,0.0,0,0.0,4.049999999999998
13367,quiet_pre,0.4526,U,0.0,0,0.0,4.049999999999998
13463,quiet_pre,0.4525,U,0.0,0,0.0,3.950000000000009
13559,quiet_pre,0.4524,U,0.0,0,0.0,3.85000000000002
13655,quiet_pre,0.4523,U,0.0,0,0.0,3.7499999999999756
13749,quiet_pre,0.4522,U,0.0,0,0.0,3.6499999999999866
13844,quiet_pre,0.4521,U,0.0,0,0.0,3.5499999999999976
13940,quiet_pre,0.452,U,0.0,0,0.0,3.4500000000000086
14036,quiet_pre,0.452,U,0.0,0,0.0,3.4500000000000086
14132,quiet_pre,0.4519,U,0.0,0,0.0,3.3500000000000196
14228,quiet_pre,0.4518,U,0.0,0,0.0,3.249999999999975
14324,quiet_pre,0.4517,U,0.0,0,0.0,3.149999999999986
14419,quiet_pre,0.4517,U,0.0,0,0.0,3.149999999999986
14515,quiet_pre,0.4516,U,0.0,0,0.0,3.049999999999997
14611,quiet_pre,0.4515,U,0.0,0,0.0,2.950000000000008
14705,quiet_pre,0.4514,U,0.0,0,0.0,2.850000000000019
14801,quiet_pre,0.4513,U,0.0,0,0.0,2.7499999999999747
14897,quiet_pre,0.4512,U,0.0,0,0.0,2.6499999999999857
14993,quiet_pre,0.4511,U,0.0,0,0.0,2.5499999999999967
15088,quiet_pre,0.451,U,0.0,0,0.0,2.4500000000000077
15184,quiet_pre,0.451,U,0.0,0,0.0,2.4500000000000077
15280,quiet_pre,0.4509,U,0.0,0,0.0,2.3500000000000187
15376,quiet_pre,0.4508,U,0.0,0,0.0,2.2499999999999742
15472,quiet_pre,0.4508,U,0.0,0,0.0,2.2499999999999742
15566,quiet_pre,0.4507,U,0.0,0,0.0,2.1499999999999853
15662,quiet_pre,0.4507,U,0.0,0,0.0,2.1499999999999853
15758,quiet_pre,0.4506,U,0.0,0,0.0,2.0499999999999963
15853,quiet_pre,0.4506,U,0.0,0,0.0,2.0499999999999963
15949,quiet_pre,0.4506,U,0.0,0,0.0,2.0499999999999963
16045,quiet_pre,0.4505,U,0.0,0,0.0,1.9500000000000073
16141,quiet_pre,0.4505,U,0.0,0,0.0,1.9500000000000073
16237,quiet_pre,0.4505,S,0.0,0,0.0,1.9500000000000073
16333,quiet_pre,0.4504,U,0.0,0,0.0,1.8500000000000183
16426,quiet_pre,0.4504,U,0.0,0,0.0,1.8500000000000183
16522,quiet_pre,0.4504,S,0.0,0,0.0,1.8500000000000183
16618,quiet_pre,0.4503,U,0.0,0,0.0,1.7499999999999738
16714,quiet_pre,0.4503,U,0.0,0,0.0,1.7499999999999738
16810,quiet_pre,0.4503,S,0.0,0,0.0,1.7499999999999738
16905,quiet_pre,0.4503,S,0.0,0,0.0,1.7499999999999738
17001,quiet_pre,0.4503,S,0.0,0,0.0,1.7499999999999738
17097,quiet_pre,0.4503,S,0.0,0,0.0,1.7499999999999738
17193,quiet_pre,0.4503,S,0.0,0,0.0,1.7499999999999738
17289,quiet_pre,0.4502,S,0.0,0,0.0,1.6499999999999848
17383,quiet_pre,0.4502,S,0.0,0,0.0,1.6499999999999848
17479,quiet_pre,0.4502,S,0.0,0,0.0,1.6499999999999848
17575,quiet_pre,0.4501,U,0.0,0,0.0,1.5499999999999958
17670,quiet_pre,0.4501,U,0.0,0,0.0,1.5499999999999958
17766,quiet_pre,0.4501,S,0.0,0,0.0,1.5499999999999958
17861,quiet_pre,0.45,U,0.0,0,0.0,1.4500000000000068
17958,quiet_pre,0.4499,U,0.0,0,0.0,1.3500000000000179
18054,quiet_pre,0.4499,U,0.0,0,0.0,1.3500000000000179
18150,quiet_pre,0.4498,U,0.0,0,0.0,1.2499999999999734
