M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,1200.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,51952,1.0361,S
S,52132,1.0361,S
S,52331,1.0361,S
S,52513,1.0361,S
S,52710,1.0361,S
S,52897,1.0361,S
S,53089,1.0361,S
S,53289,1.0361,S
S,53470,1.0361,S
S,53757,1.0361,S
S,53952,1.0361,S
S,54139,1.0361,S
S,54331,1.0361,S
S,54531,1.0361,S
S,54714,1.0361,S
S,54910,1.0361,S
S,55095,1.0361,S
S,55289,1.0361,S
S,55489,1.0361,S
S,55670,1.0361,S
S,55956,1.0361,S
S,56152,1.0361,S
S,56339,1.0361,S
S,56531,1.0361,S
S,56731,1.0361,S
S,56912,1.0361,S
S,57110,1.0361,S
S,57295,1.0361,S
S,57490,1.0361,S
S,57677,1.0361,S
S,57974,1.0361,S
S,58156,1.0361,S
S,58353,1.0361,S
S,58537,1.0361,S
S,58732,1.0361,S
S,58933,1.0361,S
S,59113,1.0361,S
S,59312,1.0361,S
S,59494,1.0361,S
S,59691,1.0361,S
S,59877,1.0361,S
S,60176,1.0361,S
S,60355,1.0361,S
S,60555,1.0361,S
S,60738,1.0361,S
S,60934,1.0361,S
S,61121,1.0361,S
S,61313,1.0361,S
S,61514,1.0361,S
S,61695,1.0361,S
S,61894,1.0361,S
S,62076,1.0361,S
S,62363,1.0361,S
S,62557,1.0361,S
S,62757,1.0361,S
S,62936,1.0361,S
S,63136,1.0361,S
S,63320,1.0361,S
S,63515,1.0361,S
S,63715,1.0361,S
S,63894,1.0361,S
S,64098,1.0361,S
S,64276,1.0361,S
S,64564,1.0361,S
S,64757,1.0361,S
S,64957,1.0361,S
S,65137,1.0361,S
S,65336,1.0361,S
S,65520,1.0361,S
S,65715,1.0361,S
S,65902,1.0361,S
S,66094,1.0361,S
S,66294,1.0361,S
S,66477,1.0361,S
S,66762,1.0361,S
S,66958,1.0361,S
S,67146,1.0361,S
S,67337,1.0361,S
S,67537,1.0361,S
S,67719,1.0361,S
S,67916,1.0361,S
S,68102,1.0361,S
S,68296,1.0361,S
S,68484,1.0361,S
S,68781,1.0361,S
S,68963,1.0361,S
S,69160,1.0361,S
S,69344,1.0361,S
S,69539,1.0361,S
S,69739,1.0361,S
S,69919,1.0361,S
S,70119,1.0361,S
S,70301,1.0361,S
S,70498,1.0361,S
S,70684,1.0361,S
S,70969,1.0361,S
S,71161,1.0361,S
S,71361,1.0361,S
S,71545,1.0361,S
S,71740,1.0361,S
S,71926,1.0361,S
S,72119,1.0361,S
S,72319,1.0361,S
S,72501,1.0361,S
S,72698,1.0361,S
S,72883,1.0361,S
S,73182,1.0361,S
S,73362,1.0361,S
S,73561,1.0361,S
S,73743,1.0361,S
S,73940,1.0361,S
S,74127,1.0361,S
S,74320,1.0361,S
S,74520,1.0361,S
S,74700,1.0361,S
S,74899,1.0361,S
S,75083,1.0361,S
S,75371,1.0361,S
